regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,xlmr_ft,s21,0.5,0.256,0.314,0.422,0.264,0.7547922386527318
lodo,Finance,xlmr_ft,s21,0.6,0.3072,0.3072,0.4476,0.2452,0.7528423116796376
lodo,Finance,xlmr_ft,s21,0.7,0.3584,0.3004,0.4732,0.2264,0.7503086236256905
lodo,Finance,xlmr_ft,s21,0.8,0.4096,0.2936,0.4988,0.2076,0.7471330264766635
lodo,Finance,xlmr_ft,s21,0.9,0.4608,0.2868,0.5244,0.1888,0.7432261104394939
lodo,Finance,xlmr_ft,s21,1.0,0.512,0.28,0.55,0.17,0.7384561654697691
lodo,Finance,xlmr_ft,s42,0.0,0.0,0.348,0.294,0.358,0.7706342886324672
lodo,Finance,xlmr_ft,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7741714917209074
lodo,Finance,xlmr_ft,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.777009513875591
lodo,Finance,xlmr_ft,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.7792272831530989
lodo,Finance,xlmr_ft,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.7808790617644755
lodo,Finance,xlmr_ft,s42,0.5,0.256,0.314,0.422,0.264,0.7819981630621312
lodo,Finance,xlmr_ft,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7825986351157525
lodo,Finance,xlmr_ft,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.782675068477217
lodo,Finance,xlmr_ft,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7822003258475032
lodo,Finance,xlmr_ft,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.7811205325805486
